ISO3,PERSONS_VACCINATED_1PLUS_DOSE_PER100
AFG,29.081
ALB,47.108
DZA,17.879
ASM,81.318
AND,76.009
AGO,43.269
AIA,72.337
ATG,65.65
ARG,91.434
ARM,38.123
ABW,84.373
AUS,87.2
AUT,77.546
AZE,53.402
BHS,44.285
BHR,72.939
BGD,90.4
BRB,57.006
BLR,68.919
BEL,80.29
BLZ,63.319
BEN,26.473
BMU,77.97
BTN,90.605
BOL,63.573
XAA,83.481
BES,137.934
BIH,28.755
BWA,71.604
BRA,87.4
VGB,64.378
BRN,102.954
BGR,30.269
BFA,20.89
BDI,0.226
CPV,64.162
KHM,91.072
CMR,11.085
CAN,86.263
CYM,94.063
CAF,39.017
TCD,22.826
CHL,94.579
CHN,88.868
COL,84.285
COM,50.463
COG,12.609
COK,85.516
CRI,89.917
CIV,46.781
HRV,57.141
CUB,94.599
CUW,66.183
CYP,75.173
CZE,65.168
COD,7.344
DNK,82.661
DJI,31.227
DMA,45.832
DOM,67.261
ECU,86.741
EGY,52.451
SLV,71.562
GNQ,19.252
ERI,0
EST,63.537
SWZ,42.434
ETH,37.5
FLK,92.449
FRO,85.368
FJI,79.287
FIN,82.231
FRA,79.716
GUF,33.289
PYF,67.872
GAB,13.975
GMB,38.681
GEO,32.465
DEU,77.929
GHA,38.729
GIB,124.882
GRC,73.818
GRL,72.619
GRD,39.263
GLP,37.747
GUM,91.972
GTM,49.42
GGY,
GIN,44.239
GNB,32.54
GUY,62.73
HTI,3.495
HND,64.826
HUN,65.062
ISL,84.345
IND,74.423
IDN,74.478
IRN,77.514
IRQ,28.114
IRL,83.929
IMN,81.804
ISR,81.514
ITA,84.791
JAM,28.23
JPN,82.509
JEY,78.198
JOR,47.256
KAZ,65.796
KEN,26.209
KIR,80.523
XKX,50.364
KWT,80.878
KGZ,22.662
LAO,83.702
LVA,68.338
LBN,40.131
LSO,46.525
LBR,75.635
LBY,33.6
LIE,68.86
LTU,70.133
LUX,74.938
MDG,7.093
MWI,20.496
MYS,86.865
MDV,73.842
MLI,14.484
MLT,87.541
MHL,73.572
MTQ,40.034
MRT,44.204
MUS,88.363
MEX,76.839
FSM,61.035
MCO,64.428
MNG,69.655
MNE,43.837
MSR,42.088
MAR,67.769
MOZ,59.779
MMR,63.917
NAM,23.581
NRU,96.853
NPL,94.034
NLD,73.398
NCL,67.1
NZL,88.178
NIC,92.72
NER,24.519
NGA,31.038
NIU,77.565
MKD,41.151
MNP,80.73
NOR,80.947
PSE,39.455
OMN,63.787
PAK,70.014
PLW,111.099
PAN,81.448
PNG,4.078
PRY,55.724
PER,90.814
PHL,71.359
PCN,110
POL,60.35
PRT,94.974
PRI,109.604
QAT,98.898
KOR,88.006
MDA,27.349
ROU,42.339
RUS,58.994
RWA,81.631
XCA,87.274
SHN,71.833
KNA,63.532
LCA,32.751
VCT,33.65
WSM,96.329
SMR,76.501
STP,58.149
SAU,77.416
SEN,11.643
SRB,49.033
SYC,87.161
SLE,48.025
SGP,88.348
XBA,57.056
SXM,69.465
SVK,52.013
SVN,58.784
SLB,46.453
SOM,44.909
ZAF,40.322
SSD,19.315
ESP,87.244
LKA,80.061
SDN,22.636
SUR,45.654
SWE,72.687
CHE,70.817
SYR,17.433
TJK,55.39
THA,82.202
GBR,79.068
TLS,66.185
TGO,27.056
TKL,163.185
TON,83.552
TTO,53.902
TUN,61.054
TUR,69.673
TKM,61.812
TCA,83.522
TUV,81.437
UGA,41.248
UKR,36.069
ARE,101.018
TZA,48.295
USA,79.821
URY,86.435
UZB,63.483
VUT,46.978
VEN,77.92
VNM,92.622
WLF,58.616
YEM,3.364
ZMB,58.976
ZWE,44.127
